date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20230102,far-left,104,0.0208,104,0.0208,5000
20230102,center-left,48,0.0096,48,0.0096,5000
20230102,center,54,0.0108,54,0.0108,5000
20230102,center-right,88,0.0176,88,0.0176,5000
20230102,far-right,521,0.104,504,0.101,5000
20230109,far-left,184,0.0368,182,0.0364,5000
20230109,center-left,83,0.0166,83,0.0166,5000
20230109,center,110,0.022,110,0.022,5000
20230109,center-right,145,0.029,144,0.0288,5000
20230109,far-right,633,0.127,617,0.123,5000
20230116,far-left,145,0.029,145,0.029,5000
20230116,center-left,60,0.012,60,0.012,5000
20230116,center,64,0.0128,64,0.0128,5000
20230116,center-right,116,0.0232,115,0.023,5000
20230116,far-right,501,0.1,488,0.0976,5000
20230123,far-left,131,0.0262,128,0.0256,5000
20230123,center-left,38,0.0076,37,0.0074,5000
20230123,center,68,0.0136,68,0.0136,5000
20230123,center-right,124,0.0248,123,0.0246,5000
20230123,far-right,458,0.0916,450,0.09,5000
20230130,far-left,123,0.0246,122,0.0244,5000
20230130,center-left,67,0.0134,67,0.0134,5000
20230130,center,86,0.0172,85,0.017,5000
20230130,center-right,150,0.03,144,0.0288,5000
20230130,far-right,572,0.114,559,0.112,5000
20230206,far-left,281,0.0562,280,0.056,5000
20230206,center-left,77,0.0154,77,0.0154,5000
20230206,center,110,0.022,109,0.0218,5000
20230206,center-right,172,0.0344,171,0.0342,5000
20230206,far-right,595,0.119,582,0.116,5000
20230213,far-left,138,0.0276,138,0.0276,5000
20230213,center-left,38,0.0076,38,0.0076,5000
20230213,center,39,0.0078,39,0.0078,5000
20230213,center-right,100,0.02,99,0.0198,5000
20230213,far-right,456,0.0912,452,0.0904,5000
20230220,far-left,157,0.0314,157,0.0314,5000
20230220,center-left,77,0.0154,77,0.0154,5000
20230220,center,79,0.0158,79,0.0158,5000
20230220,center-right,91,0.0182,91,0.0182,5000
20230220,far-right,543,0.109,537,0.107,5000
20230227,far-left,126,0.0252,126,0.0252,5000
20230227,center-left,39,0.0078,39,0.0078,5000
20230227,center,65,0.013,65,0.013,5000
20230227,center-right,99,0.0198,99,0.0198,5000
20230227,far-right,466,0.0932,457,0.0914,5000
20230306,far-left,131,0.0262,131,0.0262,5000
20230306,center-left,59,0.0118,59,0.0118,5000
20230306,center,84,0.0168,84,0.0168,5000
20230306,center-right,92,0.0184,91,0.0182,5000
20230306,far-right,449,0.0898,439,0.0878,5000
20230313,far-left,145,0.029,145,0.029,5000
20230313,center-left,60,0.012,60,0.012,5000
20230313,center,79,0.0158,79,0.0158,5000
20230313,center-right,100,0.02,99,0.0198,5000
20230313,far-right,467,0.0934,453,0.0906,5000
20230320,far-left,69,0.0138,69,0.0138,5000
20230320,center-left,43,0.0086,43,0.0086,5000
20230320,center,54,0.0108,54,0.0108,5000
20230320,center-right,78,0.0156,78,0.0156,5000
20230320,far-right,357,0.0714,351,0.0702,5000
20230327,far-left,79,0.0158,79,0.0158,5000
20230327,center-left,32,0.0064,32,0.0064,5000
20230327,center,45,0.009,45,0.009,5000
20230327,center-right,76,0.0152,76,0.0152,5000
20230327,far-right,316,0.0632,312,0.0624,5000
20230403,far-left,71,0.0142,71,0.0142,5000
20230403,center-left,49,0.0098,48,0.0096,5000
20230403,center,61,0.0122,61,0.0122,5000
20230403,center-right,78,0.0156,76,0.0152,5000
20230403,far-right,371,0.0742,365,0.073,5000
20230410,far-left,103,0.0206,103,0.0206,5000
20230410,center-left,74,0.0148,73,0.0146,5000
20230410,center,47,0.0094,47,0.0094,5000
20230410,center-right,76,0.0152,76,0.0152,5000
20230410,far-right,449,0.0898,440,0.088,5000
20230417,far-left,85,0.017,85,0.017,5000
20230417,center-left,37,0.0074,37,0.0074,5000
20230417,center,48,0.0096,48,0.0096,5000
20230417,center-right,59,0.0118,59,0.0118,5000
20230417,far-right,505,0.101,497,0.0994,5000
20230424,far-left,148,0.0296,148,0.0296,5000
20230424,center-left,78,0.0156,78,0.0156,5000
20230424,center,97,0.0194,97,0.0194,5000
20230424,center-right,106,0.0212,106,0.0212,5000
20230424,far-right,550,0.11,539,0.108,5000
20230501,far-left,112,0.0224,111,0.0222,5000
20230501,center-left,53,0.0106,53,0.0106,5000
20230501,center,59,0.0118,59,0.0118,5000
20230501,center-right,113,0.0226,110,0.022,5000
20230501,far-right,582,0.116,566,0.113,5000
20230508,far-left,113,0.0226,113,0.0226,5000
20230508,center-left,66,0.0132,65,0.013,5000
20230508,center,56,0.0112,56,0.0112,5000
20230508,center-right,128,0.0256,127,0.0254,5000
20230508,far-right,514,0.103,505,0.101,5000
20230515,far-left,98,0.0196,97,0.0194,5000
20230515,center-left,57,0.0114,56,0.0112,5000
20230515,center,91,0.0182,90,0.018,5000
20230515,center-right,112,0.0224,112,0.0224,5000
20230515,far-right,396,0.0792,389,0.0778,5000
20230522,far-left,114,0.0228,114,0.0228,5000
20230522,center-left,57,0.0114,57,0.0114,5000
20230522,center,86,0.0172,86,0.0172,5000
20230522,center-right,135,0.027,135,0.027,5000
20230522,far-right,411,0.0822,408,0.0816,5000
20230529,far-left,133,0.0266,133,0.0266,5000
20230529,center-left,63,0.0126,63,0.0126,5000
20230529,center,116,0.0232,116,0.0232,5000
20230529,center-right,128,0.0256,127,0.0254,5000
20230529,far-right,430,0.086,425,0.085,5000
20230605,far-left,80,0.016,80,0.016,5000
20230605,center-left,43,0.0086,43,0.0086,5000
20230605,center,46,0.0092,46,0.0092,5000
20230605,center-right,84,0.0168,83,0.0166,5000
20230605,far-right,490,0.098,481,0.0962,5000
20230612,far-left,121,0.0242,121,0.0242,5000
20230612,center-left,47,0.0094,45,0.009,5000
20230612,center,64,0.0128,63,0.0126,5000
20230612,center-right,91,0.0182,91,0.0182,5000
20230612,far-right,614,0.123,594,0.119,5000
20230619,far-left,161,0.0322,159,0.0318,5000
20230619,center-left,89,0.0178,89,0.0178,5000
20230619,center,97,0.0194,93,0.0186,5000
20230619,center-right,115,0.023,115,0.023,5000
20230619,far-right,713,0.143,691,0.138,5000
20230626,far-left,120,0.024,120,0.024,5000
20230626,center-left,46,0.0092,46,0.0092,5000
20230626,center,52,0.0104,52,0.0104,5000
20230626,center-right,91,0.0182,88,0.0176,5000
20230626,far-right,541,0.108,527,0.105,5000
20230703,far-left,120,0.024,120,0.024,5000
20230703,center-left,54,0.0108,54,0.0108,5000
20230703,center,57,0.0114,57,0.0114,5000
20230703,center-right,88,0.0176,87,0.0174,5000
20230703,far-right,538,0.108,523,0.105,5000
20230710,far-left,120,0.024,118,0.0236,5000
20230710,center-left,47,0.0094,47,0.0094,5000
20230710,center,58,0.0116,58,0.0116,5000
20230710,center-right,78,0.0156,78,0.0156,5000
20230710,far-right,554,0.111,544,0.109,5000
20230717,far-left,152,0.0304,152,0.0304,5000
20230717,center-left,61,0.0122,61,0.0122,5000
20230717,center,74,0.0148,72,0.0144,5000
20230717,center-right,100,0.02,99,0.0198,5000
20230717,far-right,627,0.125,605,0.121,5000
20230724,far-left,169,0.0338,168,0.0336,5000
20230724,center-left,72,0.0144,72,0.0144,5000
20230724,center,93,0.0186,89,0.0178,5000
20230724,center-right,132,0.0264,130,0.026,5000
20230724,far-right,831,0.166,790,0.158,5000
20230731,far-left,103,0.0206,103,0.0206,5000
20230731,center-left,0,0,0,0,0
20230731,center,0,0,0,0,0
20230731,center-right,67,0.0134,66,0.0132,5000
20230731,far-right,630,0.126,608,0.122,5000
20230807,far-left,171,0.0342,171,0.0342,5000
20230807,center-left,64,0.0128,64,0.0128,5000
20230807,center,76,0.0152,73,0.0146,5000
20230807,center-right,123,0.0246,118,0.0236,5000
20230807,far-right,660,0.132,636,0.127,5000
20230814,far-left,78,0.0156,78,0.0156,5000
20230814,center-left,49,0.0098,49,0.0098,5000
20230814,center,49,0.0098,49,0.0098,5000
20230814,center-right,94,0.0188,92,0.0184,5000
20230814,far-right,518,0.104,506,0.101,5000
20230821,far-left,78,0.0156,77,0.0154,5000
20230821,center-left,59,0.0118,59,0.0118,5000
20230821,center,67,0.0134,67,0.0134,5000
20230821,center-right,95,0.019,94,0.0188,5000
20230821,far-right,549,0.11,537,0.107,5000
20230828,far-left,114,0.0228,113,0.0226,5000
20230828,center-left,56,0.0112,56,0.0112,5000
20230828,center,75,0.015,75,0.015,5000
20230828,center-right,101,0.0202,101,0.0202,5000
20230828,far-right,574,0.115,568,0.114,5000
20230904,far-left,136,0.0272,135,0.027,5000
20230904,center-left,67,0.0134,66,0.0132,5000
20230904,center,63,0.0126,62,0.0124,5000
20230904,center-right,128,0.0256,127,0.0254,5000
20230904,far-right,688,0.138,670,0.134,5000
20230911,far-left,218,0.0436,215,0.043,5000
20230911,center-left,95,0.019,94,0.0188,5000
20230911,center,82,0.0164,82,0.0164,5000
20230911,center-right,128,0.0256,127,0.0254,5000
20230911,far-right,631,0.126,623,0.125,5000
20230918,far-left,154,0.0308,151,0.0302,5000
20230918,center-left,70,0.014,70,0.014,5000
20230918,center,95,0.019,95,0.019,5000
20230918,center-right,139,0.0278,138,0.0276,5000
20230918,far-right,641,0.128,623,0.125,5000
20230925,far-left,191,0.0382,191,0.0382,5000
20230925,center-left,72,0.0144,72,0.0144,5000
20230925,center,77,0.0154,77,0.0154,5000
20230925,center-right,100,0.02,100,0.02,5000
20230925,far-right,594,0.119,579,0.116,5000
20231002,far-left,98,0.0196,98,0.0196,5000
20231002,center-left,55,0.011,55,0.011,5000
20231002,center,59,0.0118,59,0.0118,5000
20231002,center-right,89,0.0178,87,0.0174,5000
20231002,far-right,506,0.101,490,0.098,5000
20231009,far-left,142,0.0284,141,0.0282,5000
20231009,center-left,41,0.0082,41,0.0082,5000
20231009,center,64,0.0128,64,0.0128,5000
20231009,center-right,84,0.0168,83,0.0166,5000
20231009,far-right,493,0.0986,481,0.0962,5000
20231016,far-left,174,0.0348,174,0.0348,5000
20231016,center-left,98,0.0196,98,0.0196,5000
20231016,center,101,0.0202,100,0.02,5000
20231016,center-right,92,0.0184,92,0.0184,5000
20231016,far-right,523,0.105,513,0.103,5000
20231023,far-left,96,0.0192,95,0.019,5000
20231023,center-left,60,0.012,60,0.012,5000
20231023,center,83,0.0166,80,0.016,5000
20231023,center-right,92,0.0184,92,0.0184,5000
20231023,far-right,488,0.0976,480,0.096,5000
20231030,far-left,115,0.023,115,0.023,5000
20231030,center-left,75,0.015,73,0.0146,5000
20231030,center,89,0.0178,89,0.0178,5000
20231030,center-right,95,0.019,94,0.0188,5000
20231030,far-right,457,0.0914,452,0.0904,5000
20231106,far-left,160,0.032,160,0.032,5000
20231106,center-left,62,0.0124,62,0.0124,5000
20231106,center,72,0.0144,72,0.0144,5000
20231106,center-right,99,0.0198,98,0.0196,5000
20231106,far-right,419,0.0838,415,0.083,5000
20231113,far-left,120,0.024,118,0.0236,5000
20231113,center-left,106,0.0212,106,0.0212,5000
