date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20230102,far-left,304,0.0608,299,0.0598,5000
20230102,center-left,81,0.0162,81,0.0162,5000
20230102,center,85,0.017,85,0.017,5000
20230102,center-right,122,0.0244,122,0.0244,5000
20230102,far-right,250,0.05,248,0.0496,5000
20230109,far-left,193,0.0386,191,0.0382,5000
20230109,center-left,48,0.0096,46,0.0092,5000
20230109,center,70,0.014,70,0.014,5000
20230109,center-right,60,0.012,59,0.0118,5000
20230109,far-right,175,0.035,174,0.0348,5000
20230116,far-left,104,0.0208,102,0.0204,5000
20230116,center-left,41,0.0082,41,0.0082,5000
20230116,center,45,0.009,44,0.0088,5000
20230116,center-right,70,0.014,69,0.0138,5000
20230116,far-right,127,0.0254,125,0.025,5000
20230123,far-left,105,0.021,105,0.021,5000
20230123,center-left,38,0.0076,38,0.0076,5000
20230123,center,41,0.0082,41,0.0082,5000
20230123,center-right,63,0.0126,63,0.0126,5000
20230123,far-right,148,0.0296,145,0.029,5000
20230130,far-left,146,0.0292,144,0.0288,5000
20230130,center-left,46,0.0092,46,0.0092,5000
20230130,center,68,0.0136,68,0.0136,5000
20230130,center-right,72,0.0144,72,0.0144,5000
20230130,far-right,167,0.0334,165,0.033,5000
20230206,far-left,145,0.029,145,0.029,5000
20230206,center-left,45,0.009,45,0.009,5000
20230206,center,50,0.01,50,0.01,5000
20230206,center-right,70,0.014,69,0.0138,5000
20230206,far-right,120,0.024,119,0.0238,5000
20230213,far-left,77,0.0154,75,0.015,5000
20230213,center-left,34,0.0068,34,0.0068,5000
20230213,center,47,0.0094,47,0.0094,5000
20230213,center-right,52,0.0104,51,0.0102,5000
20230213,far-right,93,0.0186,93,0.0186,5000
20230220,far-left,65,0.013,65,0.013,5000
20230220,center-left,0,0,0,0,0
20230220,center,44,0.0088,44,0.0088,5000
20230220,center-right,55,0.011,55,0.011,5000
20230220,far-right,97,0.0194,97,0.0194,5000
20230227,far-left,119,0.0238,118,0.0236,5000
20230227,center-left,37,0.0074,37,0.0074,5000
20230227,center,45,0.009,45,0.009,5000
20230227,center-right,63,0.0126,63,0.0126,5000
20230227,far-right,116,0.0232,115,0.023,5000
20230306,far-left,106,0.0212,104,0.0208,5000
20230306,center-left,51,0.0102,51,0.0102,5000
20230306,center,51,0.0102,51,0.0102,5000
20230306,center-right,62,0.0124,62,0.0124,5000
20230306,far-right,135,0.027,133,0.0266,5000
20230313,far-left,68,0.0136,68,0.0136,5000
20230313,center-left,36,0.0072,36,0.0072,5000
20230313,center,34,0.0068,34,0.0068,5000
20230313,center-right,45,0.009,44,0.0088,5000
20230313,far-right,115,0.023,114,0.0228,5000
20230320,far-left,108,0.0216,108,0.0216,5000
20230320,center-left,42,0.0084,42,0.0084,5000
20230320,center,50,0.01,50,0.01,5000
20230320,center-right,70,0.014,69,0.0138,5000
20230320,far-right,120,0.024,120,0.024,5000
20230327,far-left,81,0.0162,81,0.0162,5000
20230327,center-left,41,0.0082,41,0.0082,5000
20230327,center,49,0.0098,49,0.0098,5000
20230327,center-right,66,0.0132,65,0.013,5000
20230327,far-right,117,0.0234,117,0.0234,5000
20230403,far-left,119,0.0238,119,0.0238,5000
20230403,center-left,53,0.0106,53,0.0106,5000
20230403,center,66,0.0132,66,0.0132,5000
20230403,center-right,76,0.0152,76,0.0152,5000
20230403,far-right,128,0.0256,127,0.0254,5000
20230410,far-left,123,0.0246,119,0.0238,5000
20230410,center-left,44,0.0088,44,0.0088,5000
20230410,center,64,0.0128,63,0.0126,5000
20230410,center-right,80,0.016,79,0.0158,5000
20230410,far-right,117,0.0234,116,0.0232,5000
20230417,far-left,106,0.0212,106,0.0212,5000
