date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20221226,far-left,0,0,0,0,0
20221226,center-left,0,0,0,0,0
20221226,center,0,0,0,0,0
20221226,center-right,361,0.0722,352,0.0704,5000
20221226,far-right,286,0.0572,280,0.056,5000
20230102,far-left,383,0.0766,372,0.0744,5000
20230102,center-left,376,0.0752,368,0.0736,5000
20230102,center,361,0.0722,343,0.0686,5000
20230102,center-right,332,0.0664,325,0.065,5000
20230102,far-right,297,0.0594,291,0.0582,5000
20230109,far-left,474,0.0948,457,0.0914,5000
20230109,center-left,338,0.0676,331,0.0662,5000
20230109,center,340,0.068,332,0.0664,5000
20230109,center-right,313,0.0626,306,0.0612,5000
20230109,far-right,270,0.054,263,0.0526,5000
20230116,far-left,465,0.093,446,0.0892,5000
20230116,center-left,371,0.0742,356,0.0712,5000
20230116,center,355,0.071,350,0.07,5000
20230116,center-right,291,0.0582,284,0.0568,5000
20230116,far-right,243,0.0486,236,0.0472,5000
20230123,far-left,394,0.0788,382,0.0764,5000
20230123,center-left,312,0.0624,308,0.0616,5000
20230123,center,304,0.0608,298,0.0596,5000
20230123,center-right,251,0.0502,247,0.0494,5000
20230123,far-right,233,0.0466,229,0.0458,5000
20230130,far-left,430,0.086,412,0.0824,5000
20230130,center-left,288,0.0576,281,0.0562,5000
20230130,center,299,0.0598,296,0.0592,5000
20230130,center-right,261,0.0522,258,0.0516,5000
20230130,far-right,246,0.0492,244,0.0488,5000
20230206,far-left,377,0.0754,367,0.0734,5000
20230206,center-left,288,0.0576,284,0.0568,5000
20230206,center,266,0.0532,261,0.0522,5000
20230206,center-right,208,0.0416,207,0.0414,5000
20230206,far-right,201,0.0402,198,0.0396,5000
20230213,far-left,396,0.0792,380,0.076,5000
20230213,center-left,303,0.0606,299,0.0598,5000
20230213,center,283,0.0566,276,0.0552,5000
20230213,center-right,257,0.0514,255,0.051,5000
20230213,far-right,219,0.0438,217,0.0434,5000
20230220,far-left,373,0.0746,359,0.0718,5000
20230220,center-left,314,0.0628,306,0.0612,5000
20230220,center,309,0.0618,303,0.0606,5000
20230220,center-right,280,0.056,276,0.0552,5000
20230220,far-right,229,0.0458,228,0.0456,5000
20230227,far-left,393,0.0786,376,0.0752,5000
20230227,center-left,296,0.0592,287,0.0574,5000
20230227,center,328,0.0656,321,0.0642,5000
20230227,center-right,283,0.0566,279,0.0558,5000
20230227,far-right,220,0.044,214,0.0428,5000
20230306,far-left,403,0.0806,387,0.0774,5000
20230306,center-left,310,0.062,303,0.0606,5000
20230306,center,311,0.0622,303,0.0606,5000
20230306,center-right,246,0.0492,244,0.0488,5000
20230306,far-right,215,0.043,211,0.0422,5000
20230313,far-left,337,0.0674,328,0.0656,5000
20230313,center-left,263,0.0526,260,0.052,5000
20230313,center,302,0.0604,292,0.0584,5000
20230313,center-right,220,0.044,217,0.0434,5000
20230313,far-right,216,0.0432,209,0.0418,5000
20230320,far-left,376,0.0752,370,0.074,5000
20230320,center-left,284,0.0568,277,0.0554,5000
20230320,center,278,0.0556,273,0.0546,5000
20230320,center-right,275,0.055,272,0.0544,5000
20230320,far-right,233,0.0466,229,0.0458,5000
20230327,far-left,375,0.075,367,0.0734,5000
20230327,center-left,284,0.0568,279,0.0558,5000
20230327,center,307,0.0614,299,0.0598,5000
20230327,center-right,280,0.056,275,0.055,5000
20230327,far-right,240,0.048,236,0.0472,5000
20230403,far-left,423,0.0846,411,0.0822,5000
20230403,center-left,311,0.0622,306,0.0612,5000
