term,weeks_mentioned,filename
new,189,new-historical.csv
world,189,world-historical.csv
free,189,free-historical.csv
man,189,man-historical.csv
city,189,city-historical.csv
day,189,day-historical.csv
police,189,police-historical.csv
week,189,week-historical.csv
time,189,time-historical.csv
people,189,people-historical.csv
back,189,back-historical.csv
watch,189,watch-historical.csv
house,189,house-historical.csv
win,189,win-historical.csv
florida,189,florida-historical.csv
million,189,million-historical.csv
health,189,health-historical.csv
report,189,report-historical.csv
star,189,star-historical.csv
life,189,life-historical.csv
school,189,school-historical.csv
announces,189,announces-historical.csv
president,189,president-historical.csv
black,189,black-historical.csv
county,189,county-historical.csv
u.s.,189,u-s--historical.csv
trump,189,trump-historical.csv
america,189,america-historical.csv
video,189,video-historical.csv
gop,189,gop-historical.csv
former,189,former-historical.csv
big,189,big-historical.csv
news,189,news-historical.csv
woman,188,woman-historical.csv
help,188,help-historical.csv
family,188,family-historical.csv
season,188,season-historical.csv
down,188,down-historical.csv
old,188,old-historical.csv
women,188,women-historical.csv
american,188,american-historical.csv
high,188,high-historical.csv
war,187,war-historical.csv
court,187,court-historical.csv
media,186,media-historical.csv
white,186,white-historical.csv
calls,186,calls-historical.csv
game,186,game-historical.csv
set,186,set-historical.csv
market,186,market-historical.csv
china,185,china-historical.csv
death,185,death-historical.csv
killed,185,killed-historical.csv
dies,183,dies-historical.csv
fire,183,fire-historical.csv
ai,183,ai-historical.csv
live,182,live-historical.csv
north,180,north-historical.csv
south,180,south-historical.csv
so,180,so-historical.csv
democrats,179,democrats-historical.csv
california,178,california-historical.csv
review,178,review-historical.csv
anti,177,anti-historical.csv
biden,175,biden-historical.csv
right,175,right-historical.csv
global,174,global-historical.csv
texas,173,texas-historical.csv
dead,171,dead-historical.csv
billion,170,billion-historical.csv
end,168,end-historical.csv
arrested,167,arrested-historical.csv
shooting,166,shooting-historical.csv
vs,165,vs-historical.csv
team,165,team-historical.csv
bill,164,bill-historical.csv
judge,163,judge-historical.csv
left,162,left-historical.csv
crash,161,crash-historical.csv
republicans,158,republicans-historical.csv
claims,157,claims-historical.csv
deal,157,deal-historical.csv
business,155,business-historical.csv
red,155,red-historical.csv
ex,154,ex-historical.csv
illegal,153,illegal-historical.csv
national,153,national-historical.csv
tv,151,tv-historical.csv
reveals,151,reveals-historical.csv
israel,151,israel-historical.csv
group,150,group-historical.csv
love,150,love-historical.csv
public,149,public-historical.csv
boston,148,boston-historical.csv
americans,147,americans-historical.csv
found,145,found-historical.csv
nyc,145,nyc-historical.csv
pro,144,pro-historical.csv
york,144,york-historical.csv
law,144,law-historical.csv
power,143,power-historical.csv
history,142,history-historical.csv
ukraine,138,ukraine-historical.csv
hit,138,hit-historical.csv
open,136,open-historical.csv
federal,135,federal-historical.csv
rep,133,rep-historical.csv
military,132,military-historical.csv
plan,132,plan-historical.csv
attack,132,attack-historical.csv
need,131,need-historical.csv
long,129,long-historical.csv
gaza,128,gaza-historical.csv
series,127,series-historical.csv
democrat,127,democrat-historical.csv
film,125,film-historical.csv
election,124,election-historical.csv
west,123,west-historical.csv
work,123,work-historical.csv
donald,123,donald-historical.csv
results,123,results-historical.csv
good,122,good-historical.csv
exclusive,120,exclusive-historical.csv
album,119,album-historical.csv
lead,119,lead-historical.csv
2024,118,2024-historical.csv
russia,117,russia-historical.csv
joe,116,joe-historical.csv
border,115,border-historical.csv
fans,114,fans-historical.csv
latest,113,latest-historical.csv
dem,113,dem-historical.csv
weather,112,weather-historical.csv
naturalnews.com,110,naturalnews-com-historical.csv
maga,108,maga-historical.csv
food,105,food-historical.csv
charged,105,charged-historical.csv
college,105,college-historical.csv
republican,105,republican-historical.csv
music,105,music-historical.csv
children,104,children-historical.csv
face,104,face-historical.csv
supreme,104,supreme-historical.csv
breaking,103,breaking-historical.csv
nfl,103,nfl-historical.csv
study,102,study-historical.csv
senate,102,senate-historical.csv
future,101,future-historical.csv
listen,101,listen-historical.csv
cnn,99,cnn-historical.csv
fbi,98,fbi-historical.csv
abortion,98,abortion-historical.csv
admin,98,admin-historical.csv
data,97,data-historical.csv
growth,96,growth-historical.csv
quarter,96,quarter-historical.csv
support,94,support-historical.csv
officials,94,officials-historical.csv
dems,94,dems-historical.csv
worldnetdaily,94,worldnetdaily-historical.csv
cancer,93,cancer-historical.csv
2025,93,2025-historical.csv
financial,92,financial-historical.csv
trial,91,trial-historical.csv
football,90,football-historical.csv
accused,90,accused-historical.csv
climate,90,climate-historical.csv
kids,89,kids-historical.csv
â,89,â---historical.csv
security,88,security-historical.csv
government,87,government-historical.csv
care,87,care-historical.csv
weekend,87,weekend-historical.csv
final,85,final-historical.csv
change,85,change-historical.csv
colorado,85,colorado-historical.csv
ice,84,ice-historical.csv
record,84,record-historical.csv
uk,84,uk-historical.csv
major,84,major-historical.csv
return,84,return-historical.csv
reach,83,reach-historical.csv
song,83,song-historical.csv
talks,81,talks-historical.csv
israeli,81,israeli-historical.csv
shares,80,shares-historical.csv
mass,79,mass-historical.csv
share,78,share-historical.csv
usd,78,usd-historical.csv
cup,77,cup-historical.csv
reports,77,reports-historical.csv
hamas,77,hamas-historical.csv
center,76,center-historical.csv
key,74,key-historical.csv
campaign,74,campaign-historical.csv
basketball,73,basketball-historical.csv
lawsuit,73,lawsuit-historical.csv
party,73,party-historical.csv
sox,73,sox-historical.csv
iowa,72,iowa-historical.csv
community,72,community-historical.csv
ap,72,ap-historical.csv
2023,71,2023-historical.csv
social,71,social-historical.csv
fox,71,fox-historical.csv
doj,71,doj-historical.csv
launches,70,launches-historical.csv
iran,70,iran-historical.csv
musk,69,musk-historical.csv
fight,69,fight-historical.csv
summer,69,summer-historical.csv
products,68,products-historical.csv
stock,68,stock-historical.csv
amazon,67,amazon-historical.csv
tour,67,tour-historical.csv
tech,66,tech-historical.csv
students,66,students-historical.csv
car,66,car-historical.csv
research,66,research-historical.csv
taylor,65,taylor-historical.csv
cagr,64,cagr-historical.csv
park,64,park-historical.csv
trans,64,trans-historical.csv
real,63,real-historical.csv
size,63,size-historical.csv
murder,63,murder-historical.csv
race,63,race-historical.csv
carolina,63,carolina-historical.csv
legal,63,legal-historical.csv
administration,62,administration-historical.csv
child,61,child-historical.csv
rights,61,rights-historical.csv
girls,59,girls-historical.csv
sports,59,sports-historical.csv
update,58,update-historical.csv
company,58,company-historical.csv
san,58,san-historical.csv
coach,57,coach-historical.csv
takes,57,takes-historical.csv
storm,56,storm-historical.csv
wins,56,wins-historical.csv
class,54,class-historical.csv
workers,54,workers-historical.csv
energy,53,energy-historical.csv
chicago,53,chicago-historical.csv
desantis,53,desantis-historical.csv
night,53,night-historical.csv
mayor,53,mayor-historical.csv
ban,52,ban-historical.csv
jr,52,jr-historical.csv
warns,51,warns-historical.csv
winter,50,winter-historical.csv
patriots,50,patriots-historical.csv
2030,49,2030-historical.csv
gay,49,gay-historical.csv
pa,48,pa-historical.csv
air,47,air-historical.csv
fraud,47,fraud-historical.csv
elon,46,elon-historical.csv
crisis,46,crisis-historical.csv
shot,46,shot-historical.csv
mike,46,mike-historical.csv
trade,46,trade-historical.csv
2026,46,2026-historical.csv
missing,45,missing-historical.csv
chief,45,chief-historical.csv
loss,44,loss-historical.csv
festival,44,festival-historical.csv
leaders,44,leaders-historical.csv
scores,44,scores-historical.csv
nba,44,nba-historical.csv
vance,44,vance-historical.csv
suspect,43,suspect-historical.csv
20,43,20-historical.csv
michigan,43,michigan-historical.csv
start,43,start-historical.csv
john,43,john-historical.csv
strike,43,strike-historical.csv
speech,43,speech-historical.csv
fall,43,fall-historical.csv
plans,42,plans-historical.csv
india,42,india-historical.csv
voters,42,voters-historical.csv
host,42,host-historical.csv
mamdani,42,mamdani-historical.csv
play,41,play-historical.csv
heat,41,heat-historical.csv
johnson,41,johnson-historical.csv
snow,40,snow-historical.csv
student,40,student-historical.csv
hunter,40,hunter-historical.csv
spring,40,spring-historical.csv
presidential,40,presidential-historical.csv
alabama,40,alabama-historical.csv
inside,39,inside-historical.csv
sex,39,sex-historical.csv
vote,39,vote-historical.csv
aid,39,aid-historical.csv
james,39,james-historical.csv
beat,38,beat-historical.csv
woke,38,woke-historical.csv
prison,38,prison-historical.csv
killing,38,killing-historical.csv
congress,37,congress-historical.csv
christian,37,christian-historical.csv
water,37,water-historical.csv
epstein,37,epstein-historical.csv
gun,36,gun-historical.csv
art,36,art-historical.csv
political,36,political-historical.csv
program,34,program-historical.csv
stream,34,stream-historical.csv
forecast,34,forecast-historical.csv
boys,34,boys-historical.csv
charges,34,charges-historical.csv
fourth,34,fourth-historical.csv
harris,34,harris-historical.csv
service,34,service-historical.csv
obama,34,obama-historical.csv
order,34,order-historical.csv
kamala,34,kamala-historical.csv
covid,33,covid-historical.csv
university,33,university-historical.csv
officer,33,officer-historical.csv
island,33,island-historical.csv
crime,33,crime-historical.csv
oregon,33,oregon-historical.csv
tariffs,33,tariffs-historical.csv
meet,32,meet-historical.csv
industry,32,industry-historical.csv
awards,32,awards-historical.csv
east,32,east-historical.csv
homes,32,homes-historical.csv
immigration,32,immigration-historical.csv
n.j.,32,n-j--historical.csv
holiday,31,holiday-historical.csv
jan,31,jan-historical.csv
chinese,31,chinese-historical.csv
days,31,days-historical.csv
25,31,25-historical.csv
post,31,post-historical.csv
attacks,31,attacks-historical.csv
allegedly,30,allegedly-historical.csv
washington,30,washington-historical.csv
peace,30,peace-historical.csv
mexico,29,mexico-historical.csv
georgia,29,georgia-historical.csv
beach,29,beach-historical.csv
league,29,league-historical.csv
debate,29,debate-historical.csv
strikes,29,strikes-historical.csv
leader,29,leader-historical.csv
newsom,29,newsom-historical.csv
cuts,29,cuts-historical.csv
conference,28,conference-historical.csv
russian,28,russian-historical.csv
smith,28,smith-historical.csv
storms,28,storms-historical.csv
canada,28,canada-historical.csv
bowl,27,bowl-historical.csv
