date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20230102,far-left,221,0.0442,218,0.0436,5000
20230102,center-left,0,0,0,0,0
20230102,center,36,0.0072,34,0.0068,5000
20230102,center-right,0,0,0,0,0
20230102,far-right,126,0.0252,126,0.0252,5000
20230109,far-left,235,0.047,233,0.0466,5000
20230109,center-left,46,0.0092,45,0.009,5000
20230109,center,42,0.0084,41,0.0082,5000
20230109,center-right,40,0.008,40,0.008,5000
20230109,far-right,142,0.0284,138,0.0276,5000
20230116,far-left,257,0.0514,254,0.0508,5000
20230116,center-left,39,0.0078,39,0.0078,5000
20230116,center,0,0,0,0,0
20230116,center-right,0,0,0,0,0
20230116,far-right,169,0.0338,167,0.0334,5000
20230123,far-left,276,0.0552,273,0.0546,5000
20230123,center-left,47,0.0094,47,0.0094,5000
20230123,center,0,0,0,0,0
20230123,center-right,41,0.0082,41,0.0082,5000
20230123,far-right,176,0.0352,169,0.0338,5000
20230130,far-left,307,0.0614,304,0.0608,5000
20230130,center-left,47,0.0094,47,0.0094,5000
20230130,center,33,0.0066,33,0.0066,5000
20230130,center-right,0,0,0,0,0
20230130,far-right,182,0.0364,181,0.0362,5000
20230206,far-left,225,0.045,223,0.0446,5000
20230206,center-left,0,0,0,0,0
20230206,center,0,0,0,0,0
20230206,center-right,0,0,0,0,0
20230206,far-right,128,0.0256,123,0.0246,5000
20230213,far-left,278,0.0556,274,0.0548,5000
20230213,center-left,50,0.01,50,0.01,5000
20230213,center,0,0,0,0,0
20230213,center-right,37,0.0074,37,0.0074,5000
20230213,far-right,176,0.0352,169,0.0338,5000
20230220,far-left,254,0.0508,252,0.0504,5000
20230220,center-left,35,0.007,34,0.0068,5000
20230220,center,0,0,0,0,0
20230220,center-right,0,0,0,0,0
20230220,far-right,211,0.0422,206,0.0412,5000
20230227,far-left,240,0.048,238,0.0476,5000
20230227,center-left,42,0.0084,42,0.0084,5000
20230227,center,0,0,0,0,0
20230227,center-right,46,0.0092,46,0.0092,5000
20230227,far-right,166,0.0332,162,0.0324,5000
20230306,far-left,302,0.0604,299,0.0598,5000
20230306,center-left,45,0.009,45,0.009,5000
20230306,center,37,0.0074,36,0.0072,5000
20230306,center-right,61,0.0122,61,0.0122,5000
20230306,far-right,160,0.032,156,0.0312,5000
20230313,far-left,463,0.0926,449,0.0898,5000
20230313,center-left,57,0.0114,57,0.0114,5000
20230313,center,63,0.0126,63,0.0126,5000
20230313,center-right,93,0.0186,93,0.0186,5000
20230313,far-right,387,0.0774,382,0.0764,5000
20230320,far-left,603,0.121,588,0.118,5000
20230320,center-left,115,0.023,114,0.0228,5000
20230320,center,66,0.0132,65,0.013,5000
20230320,center-right,115,0.023,113,0.0226,5000
20230320,far-right,430,0.086,416,0.0832,5000
20230327,far-left,599,0.12,591,0.118,5000
20230327,center-left,149,0.0298,148,0.0296,5000
