date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20221226,far-left,0,0,0,0,0
20221226,center-left,0,0,0,0,0
20221226,center,0,0,0,0,0
20221226,center-right,35,0.007,35,0.007,5000
20221226,far-right,124,0.0248,122,0.0244,5000
20230102,far-left,49,0.0098,49,0.0098,5000
20230102,center-left,41,0.0082,41,0.0082,5000
20230102,center,0,0,0,0,0
20230102,center-right,41,0.0082,41,0.0082,5000
20230102,far-right,136,0.0272,135,0.027,5000
20230109,far-left,77,0.0154,77,0.0154,5000
20230109,center-left,44,0.0088,44,0.0088,5000
20230109,center,37,0.0074,37,0.0074,5000
20230109,center-right,44,0.0088,44,0.0088,5000
20230109,far-right,153,0.0306,149,0.0298,5000
20230116,far-left,59,0.0118,59,0.0118,5000
20230116,center-left,57,0.0114,56,0.0112,5000
20230116,center,57,0.0114,57,0.0114,5000
20230116,center-right,71,0.0142,71,0.0142,5000
20230116,far-right,166,0.0332,164,0.0328,5000
20230123,far-left,92,0.0184,92,0.0184,5000
20230123,center-left,36,0.0072,36,0.0072,5000
20230123,center,69,0.0138,69,0.0138,5000
20230123,center-right,65,0.013,65,0.013,5000
20230123,far-right,153,0.0306,152,0.0304,5000
20230130,far-left,50,0.01,50,0.01,5000
20230130,center-left,41,0.0082,41,0.0082,5000
20230130,center,0,0,0,0,0
20230130,center-right,0,0,0,0,0
20230130,far-right,177,0.0354,173,0.0346,5000
20230206,far-left,41,0.0082,41,0.0082,5000
20230206,center-left,38,0.0076,38,0.0076,5000
20230206,center,0,0,0,0,0
20230206,center-right,0,0,0,0,0
20230206,far-right,133,0.0266,132,0.0264,5000
20230213,far-left,56,0.0112,55,0.011,5000
20230213,center-left,32,0.0064,32,0.0064,5000
20230213,center,0,0,0,0,0
20230213,center-right,0,0,0,0,0
20230213,far-right,138,0.0276,134,0.0268,5000
20230220,far-left,61,0.0122,61,0.0122,5000
20230220,center-left,0,0,0,0,0
20230220,center,0,0,0,0,0
20230220,center-right,36,0.0072,36,0.0072,5000
20230220,far-right,146,0.0292,144,0.0288,5000
20230227,far-left,59,0.0118,59,0.0118,5000
20230227,center-left,33,0.0066,32,0.0064,5000
20230227,center,0,0,0,0,0
20230227,center-right,41,0.0082,41,0.0082,5000
20230227,far-right,161,0.0322,158,0.0316,5000
20230306,far-left,52,0.0104,52,0.0104,5000
20230306,center-left,36,0.0072,36,0.0072,5000
20230306,center,0,0,0,0,0
20230306,center-right,44,0.0088,44,0.0088,5000
20230306,far-right,161,0.0322,158,0.0316,5000
20230313,far-left,56,0.0112,56,0.0112,5000
20230313,center-left,44,0.0088,43,0.0086,5000
20230313,center,34,0.0068,34,0.0068,5000
20230313,center-right,40,0.008,40,0.008,5000
20230313,far-right,127,0.0254,125,0.025,5000
20230320,far-left,53,0.0106,53,0.0106,5000
20230320,center-left,36,0.0072,35,0.007,5000
20230320,center,0,0,0,0,0
20230320,center-right,40,0.008,40,0.008,5000
20230320,far-right,135,0.027,134,0.0268,5000
20230327,far-left,40,0.008,40,0.008,5000
20230327,center-left,39,0.0078,38,0.0076,5000
20230327,center,0,0,0,0,0
20230327,center-right,38,0.0076,38,0.0076,5000
20230327,far-right,124,0.0248,123,0.0246,5000
20230403,far-left,56,0.0112,55,0.011,5000
20230403,center-left,37,0.0074,37,0.0074,5000
20230403,center,0,0,0,0,0
20230403,center-right,0,0,0,0,0
20230403,far-right,132,0.0264,131,0.0262,5000
20230410,far-left,54,0.0108,54,0.0108,5000
