date,collection,term_count,term_ratio,doc_count,doc_ratio,sample_size
20221226,far-left,0,0,0,0,0
20221226,center-left,0,0,0,0,0
20221226,center,0,0,0,0,0
20221226,center-right,72,0.0144,71,0.0142,5000
20221226,far-right,0,0,0,0,0
20230102,far-left,59,0.0118,57,0.0114,5000
20230102,center-left,59,0.0118,57,0.0114,5000
20230102,center,83,0.0166,83,0.0166,5000
20230102,center-right,67,0.0134,66,0.0132,5000
20230102,far-right,0,0,0,0,0
20230109,far-left,50,0.01,50,0.01,5000
20230109,center-left,50,0.01,50,0.01,5000
20230109,center,62,0.0124,62,0.0124,5000
20230109,center-right,49,0.0098,47,0.0094,5000
20230109,far-right,0,0,0,0,0
20230116,far-left,41,0.0082,41,0.0082,5000
20230116,center-left,44,0.0088,44,0.0088,5000
20230116,center,45,0.009,45,0.009,5000
20230116,center-right,49,0.0098,48,0.0096,5000
20230116,far-right,0,0,0,0,0
20230123,far-left,54,0.0108,54,0.0108,5000
20230123,center-left,40,0.008,40,0.008,5000
20230123,center,52,0.0104,52,0.0104,5000
20230123,center-right,42,0.0084,41,0.0082,5000
20230123,far-right,0,0,0,0,0
20230130,far-left,48,0.0096,47,0.0094,5000
20230130,center-left,44,0.0088,44,0.0088,5000
20230130,center,33,0.0066,33,0.0066,5000
20230130,center-right,45,0.009,43,0.0086,5000
20230130,far-right,0,0,0,0,0
20230206,far-left,75,0.015,75,0.015,5000
20230206,center-left,53,0.0106,52,0.0104,5000
20230206,center,45,0.009,45,0.009,5000
20230206,center-right,75,0.015,72,0.0144,5000
20230206,far-right,0,0,0,0,0
20230213,far-left,60,0.012,60,0.012,5000
20230213,center-left,48,0.0096,47,0.0094,5000
20230213,center,48,0.0096,48,0.0096,5000
20230213,center-right,40,0.008,39,0.0078,5000
20230213,far-right,0,0,0,0,0
20230220,far-left,58,0.0116,58,0.0116,5000
20230220,center-left,51,0.0102,51,0.0102,5000
20230220,center,58,0.0116,58,0.0116,5000
20230220,center-right,53,0.0106,53,0.0106,5000
20230220,far-right,0,0,0,0,0
20230227,far-left,47,0.0094,46,0.0092,5000
20230227,center-left,48,0.0096,48,0.0096,5000
20230227,center,52,0.0104,51,0.0102,5000
20230227,center-right,45,0.009,45,0.009,5000
20230227,far-right,0,0,0,0,0
20230306,far-left,63,0.0126,63,0.0126,5000
20230306,center-left,56,0.0112,56,0.0112,5000
20230306,center,41,0.0082,40,0.008,5000
20230306,center-right,44,0.0088,44,0.0088,5000
20230306,far-right,0,0,0,0,0
20230313,far-left,59,0.0118,59,0.0118,5000
20230313,center-left,40,0.008,39,0.0078,5000
20230313,center,54,0.0108,54,0.0108,5000
20230313,center-right,43,0.0086,43,0.0086,5000
20230313,far-right,0,0,0,0,0
20230320,far-left,38,0.0076,38,0.0076,5000
20230320,center-left,50,0.01,50,0.01,5000
20230320,center,50,0.01,50,0.01,5000
20230320,center-right,51,0.0102,50,0.01,5000
20230320,far-right,0,0,0,0,0
20230327,far-left,53,0.0106,53,0.0106,5000
20230327,center-left,40,0.008,40,0.008,5000
20230327,center,59,0.0118,58,0.0116,5000
20230327,center-right,50,0.01,50,0.01,5000
20230327,far-right,0,0,0,0,0
20230403,far-left,41,0.0082,41,0.0082,5000
20230403,center-left,42,0.0084,41,0.0082,5000
20230403,center,39,0.0078,39,0.0078,5000
20230403,center-right,49,0.0098,48,0.0096,5000
20230403,far-right,0,0,0,0,0
20230410,far-left,67,0.0134,67,0.0134,5000
