domain,Include as News? (Y/N),Coding Notes,score,rounded_n_shares,rounded_n_accts,fb_score,mturk_score,budak_score,allsides_score,allsides_score_community,pew_score,news_fakenews_proj,news_googlenews,news_manual,news_tvnews_data,news_webshrinker,news_ribiero,news_n,news_is_news
dailymail.co.uk,n,foreign,0.2105,53200,24300,0.286,0,,1,0.5,,1,,,,1,1,2,1
nbc.com,y,,0.2075,48500,12500,,0,,,,,1,,,,0,1,1,1
desmoinesregister.com,y,,0.2004,21200,6200,,,,,,,1,,,1,0,1,2,1
washingtonexaminer.com,y,,0.5399,12600,5800,0.82045,0.25,,1,0.5,,1,,,,0,1,1,1
marketwatch.com,y,,0.2847,9900,5600,,0,,,,,1,,,,0,1,1,1
newsok.com,y,,0.4456,10600,3600,,,,,,,1,,,1,1,1,3,1
realclearpolitics.com,y,,0.568,6200,3300,0.6616,0,,0,0.5,,1,,,,0,0,1,1
omaha.com,y,,0.4046,10200,3000,,,,,,,1,,,1,1,1,3,1
barstoolsports.com,y,,0.4727,5200,2500,,,,,,,1,,,,0,1,1,1
reason.com,y,,0.3846,5100,2500,0.3502,0.25,,,,,1,,,,1,1,2,1
thesun.co.uk,y,,0.3268,3000,2000,,0,,,,,,1,,,1,1,1,1
news.sky.com,y,,0.2353,2700,1900,,0,,,,,,1,,,1,1,1,1
bars.tl,n,looks like a proxy for barstool sports,0.5887,4100,1800,,,,,,,,0,,,1,1,1,1
argusleader.com,y,,0.4518,6500,1800,,,,,,,1,,,1,1,1,3,1
brobible.com,y,,0.3145,3200,1800,,,,,,,1,,,,0,0,1,1
jpost.com,n,foreign,0.2185,4100,1800,0.4149,-0.08333333333,,,,,1,,,,1,1,2,1
kansas.com,y,,0.4304,7900,1700,,,,,,,1,,,1,1,1,3,1
deseretnews.com,y,,0.5662,6100,1600,,,,0.5,1,,1,,,1,1,1,3,1
faithreel.com,y,,0.5154,2500,1600,,,,,,,1,,,,0,1,1,1
tulsaworld.com,y,,0.3603,4500,1500,,,,,,,,,,1,1,1,2,1
naturalnews.com,y,,0.3603,5600,1500,0.4837,,,,,,1,,,,1,1,2,1
inman.com,y,,0.444,5800,1500,,,,,,,1,,,,0,0,1,1
journalstar.com,y,,0.4244,4800,1500,,,,,,,1,,,1,1,1,3,1
thegazette.com,y,,0.2812,6400,1500,,,,,,,,,,1,1,1,2,1
thechive.com,y,,0.3513,2500,1500,,,,,,,,0,,,1,1,1,1
azfamily.com,y,,0.3254,3000,1400,0.0439,,,,,,,,,1,1,1,2,1
fbi.gov,n,,0.2046,2400,1400,,,,,,,,1,,,1,1,1,1
realtormag.realtor.org,y,,0.4768,8000,1400,,,,,,,1,,,,0,1,1,1
news-press.com,y,,0.3702,10100,1300,,,,,,,,,,1,1,1,2,1
express.co.uk,y,,0.4419,1800,1300,,-0.08333333333,,,,,1,,,,1,1,2,1
breaking911.com,y,,0.4936,3000,1200,,,,,,,,0,,,1,1,1,1
stripes.com,y,,0.3034,2600,1200,0.3658,,,,,,1,,,,1,1,2,1
tasteofcountry.com,y,,0.4928,3200,1200,,,,,,,1,,,,0,1,1,1
rare.us,y,,0.5831,1800,1100,0.6386,,,,,,1,,,,1,1,2,1
ocregister.com,y,,0.2067,1400,1100,,,,0.5,0.5,,,,,1,1,1,2,1
patriots.com,n,,0.2765,1900,1100,,,,,,,1,,,,1,1,2,1
sputniknews.com,y,,0.3021,1800,1100,,0.25,,,,,1,,,,1,1,2,1
ketv.com,y,,0.463,2200,1100,,,,,,,1,,,1,1,1,3,1
firstcoastnews.com,y,,0.485,4400,1100,0.1755,,,,,,,,,1,1,1,2,1
