domain,Include as News? (Y/N),Coding Notes,score,rounded_n_shares,rounded_n_accts,fb_score,mturk_score,budak_score,allsides_score,allsides_score_community,pew_score,news_fakenews_proj,news_googlenews,news_manual,news_tvnews_data,news_webshrinker,news_ribiero,news_n,news_is_news
thinkprogress.org,y,,-0.7193,63800,22400,-0.8615,,,-1,-0.5,-0.04,1,,,,1,1,2,1
motherjones.com,y,,-0.6966,33500,14600,-0.8663,-0.666666667,,-1,-0.5,-0.106,1,,,,1,1,2,1
dailykos.com,y,,-0.7052,54700,12900,-0.8972,-0.666666667,-0.224690083,-1,-0.5,-0.042,1,,,,0,1,1,1
thenation.com,y,,-0.7298,24200,10000,-0.9463,-0.166666667,,-1,0,,1,,,,1,1,2,1
newrepublic.com,y,,-0.641,16800,9300,,,,,,,1,,,,1,1,2,1
wnyc.org,y,,-0.7333,22000,8000,,,,,,,1,,,,0,0,1,1
rawstory.com,y,,-0.6161,25200,7800,-0.8534,-0.5,,-1,-0.5,,1,,,,1,1,2,1
gothamist.com,y,,-0.6233,21000,7600,-0.7415,,,,,,1,,,,1,0,2,1
msnbc.com,y,,-0.6243,15600,7100,-0.8102,-0.5,,-1,0,-0.224,1,,,,1,1,2,1
jezebel.com,y,,-0.6633,12400,6700,-0.9487,,,,,,1,,,,1,1,2,1
hillaryclinton.com,n,,-0.8186,10900,6500,,,,,,,0,,,,1,1,1,1
mediamatters.org,y,Not sure where to place this one?,-0.7221,12400,6300,-0.8509,,,-1,0,,1,,,,1,1,2,1
talkingpointsmemo.com,y,,-0.6732,14000,6200,-0.8614,-0.416666667,,,,,1,,,,1,1,2,1
propublica.org,y,,-0.6551,11900,5700,,,,0,-0.5,,,1,,,1,0,1,1
pitchfork.com,y,,-0.612,10800,5100,,0,,,,,1,,,,0,1,1,1
politicususa.com,y,,-0.7081,21200,4600,-0.9037,-0.666666667,,-1,-0.5,,1,,,,1,1,2,1
teenvogue.com,y,,-0.6854,6500,4200,,0,,-0.5,-0.5,,1,,,,1,1,2,1
alternet.org,y,,-0.6378,12700,4200,-0.8804,-0.916666667,,-1,0,,1,,,,1,1,2,1
mcsweeneys.net,n,parody site,-0.6794,7400,3900,,,,,,,1,,,,0,0,1,1
citylab.com,y,,-0.6063,8800,3800,,,,,,,,1,,,1,1,1,1
theroot.com,y,,-0.7344,7400,3800,-0.7792,,,,,,1,,,,1,1,2,1
bet.com,y,,-0.6425,6700,3700,,0,,,,,1,,,,1,1,2,1
truth-out.org,y,,-0.7375,6300,3100,-0.8937,,,-0.5,-0.5,,1,,,,0,1,1,1
nybooks.com,y,,-0.7279,5500,3000,,0,,,,,1,,,,1,1,2,1
shareblue.com,y,redirects to https://americanindependent.com/,-0.7856,10700,3000,,,,,,,1,,,,1,1,2,1
occupydemocrats.com,y,,-0.7471,6700,2700,-0.899,,,,,,1,,,,0,0,1,1
democracynow.org,y,,-0.744,5200,2500,,,,,,,1,,,,1,1,2,1
dcist.com,y,,-0.6365,6800,2200,,,,,,,,0,,,1,1,1,1
billmoyers.com,y,,-0.7531,4000,2200,-0.839,,,,,,1,,,,1,0,2,1
hyperallergic.com,y,,-0.7448,6200,2200,,,,,,,,1,,,1,1,1,1
villagevoice.com,y,,-0.7541,3700,2000,,-0.25,,,,,,,,1,0,1,1,1
opinionator.blogs.nytimes.com,y,,-0.6201,2600,1900,,,,,,,,,,,1,1,1,1
usuncut.com,n,,-0.6202,3300,1800,,-0.333333333,,,,,1,,,,0,1,1,1
palmerreport.com,y,,-0.7334,10600,1800,,,,,,,1,,,,1,1,2,1
advocate.com,y,,-0.7671,3600,1800,-0.9276,0.75,,,,,1,,,,1,1,2,1
wweek.com,y,,-0.6215,4400,1700,,,,,,,,,,1,1,1,2,1
hrw.org,n,,-0.6459,7700,1700,,,,,,,1,,,,1,1,2,1
crooksandliars.com,y,,-0.7006,3300,1700,-0.9218,,,,,,1,,,,1,1,2,1
theawl.com,y,,-0.7293,2800,1600,,,,,,,,1,,,1,1,1,1
themarysue.com,y,,-0.6075,3600,1600,,,,,,,1,,,,0,1,1,1
addictinginfo.org,n,Broken link,-0.6913,3300,1600,-0.8894,,,,,,,0,,,1,1,1,1
theslot.jezebel.com,y,,-0.7498,2200,1500,,-0.5,,,,,1,,,,1,1,2,1
theconcourse.deadspin.com,y,,-0.606,2000,1500,,,,,,,1,,,,1,1,2,1
nextcity.org,y,,-0.6435,5800,1500,,,,,,,,1,,,1,1,1,1
thenewcivilrightsmovement.com,y,,-0.7471,3200,1500,-0.9643,-0.5,,,,,1,,,,1,1,2,1
barackobama.com,n,,-0.7884,3100,1500,-0.8077,,,,,,0,,,,1,1,1,1
niemanlab.org,y,,-0.6013,2600,1400,,-0.083333333,,,,,,1,,,1,1,1,1
prospect.org,y,,-0.7318,2400,1400,,,,,,,1,,,,0,1,1,1
bipartisanreport.com,y,,-0.7469,3900,1400,,,,,,,1,,,,1,1,2,1
washingtoncitypaper.com,y,,-0.6925,4100,1400,,,,,,,1,,,1,1,1,3,1
thestranger.com,y,,-0.7594,1800,1400,,,,,,,,,,1,1,0,2,1
colorlines.com,y,,-0.8871,2200,1400,,,,,,,,1,,,1,1,1,1
nationalmemo.com,y,,-0.7783,3000,1300,,,,,,,1,,,,1,1,2,1
essence.com,y,,-0.7487,2300,1300,,-0.333333333,,,,,1,,,,1,1,2,1
jacobinmag.com,y,,-0.803,2900,1300,,,,,,,1,,,,1,1,2,1
america.aljazeera.com,y,,-0.6466,2000,1300,-0.7362,,,,,-0.116,,0,,,1,1,1,1
commondreams.org,y,,-0.6526,2200,1300,-0.9673,-0.166666667,,,,,1,,,,1,1,2,1
attn.com,n,,-0.6387,1600,1300,-0.7747,,,,,,1,,,,1,0,2,1
stereogum.com,y,,-0.6156,2100,1200,,,,,,,0,,,,1,1,1,1
ebony.com,y,,-0.7915,1700,1200,,,,,,,1,,,,1,1,2,1
harpers.org,y,,-0.756,1500,1100,,,,,,,,0,,,1,1,1,1
opb.org,y,,-0.6806,2800,1100,,,,,,,1,,,1,0,1,2,1
artsbeat.blogs.nytimes.com,y,,-0.6279,1400,1100,,,,,,,,0,,,1,1,1,1
themarshallproject.org,y,,-0.7337,3000,1000,,,,,,,,1,,,1,1,1,1
yesmagazine.org,y,,-0.7306,1400,1000,,,,-1,0,,,1,,,1,1,1,1
wonkette.com,y,,-0.7557,2000,1000,,,,,,,1,,,,1,1,2,1
