domain,Include as News? (Y/N),Coding Notes,score,rounded_n_shares,rounded_n_accts,fb_score,mturk_score,budak_score,allsides_score,allsides_score_community,pew_score,news_fakenews_proj,news_googlenews,news_manual,news_tvnews_data,news_webshrinker,news_ribiero,news_n,news_is_news
foxnews.com,y,,0.6079,148600,38300,0.7754,0.25,0.1319918145,0.5,1,0.416,1,,,,1,1,2,1
theblaze.com,y,,0.7889,30400,6900,0.8887,0.5,,1,0.5,0.17,1,,,,1,1,2,1
breitbart.com,y,,0.7419,34500,6800,0.9136,0.8333333333,0.1777702243,1,1,0.116,1,,,,1,1,2,1
dailycaller.com,y,,0.6958,25900,6600,0.8697,0.75,,1,1,,1,,,,1,1,2,1
washingtontimes.com,y,,0.6297,10500,5600,0.6975,-0.25,,0.5,1,,1,,,,1,1,2,1
nationalreview.com,y,,0.6361,11400,5300,0.9009,0.4166666667,,1,1,,1,,,,1,1,2,1
insider.foxnews.com,y,,0.7916,15100,4800,0.8239,-0.08333333333,,,,,1,,,,1,1,2,1
townhall.com,y,,0.8498,16700,4300,0.9263,0.5833333333,,1,1,,1,,,,1,0,2,1
weeklystandard.com,y,,0.6389,6700,3800,0.9074,,,1,0.5,,1,,,,1,1,2,1
video.foxnews.com,y,,0.7234,7500,3600,0.838,,,,,,1,,,,1,1,2,1
zerohedge.com,y,,0.6771,12800,3400,0.4721,0,,,,,1,,,,0,0,1,1
ijr.com,y,,0.63,9600,3400,,0.6666666667,,,,,1,,,,1,1,2,1
thefederalist.com,y,,0.7078,8200,3400,0.8559,1,,0.5,1,,1,,,,1,1,2,1
infowars.com,y,,0.7817,13300,3400,0.5997,0.5833333333,,1,1,,1,,,,1,1,2,1
newsmax.com,y,,0.6879,11500,3400,0.7697,0.4166666667,,1,0.5,,1,,,,1,1,2,1
desiringgod.org,n,not vcurrent events,0.8553,12100,3300,,,,,,,1,,,,0,1,1,1
thegatewaypundit.com,y,,0.8635,23300,3300,0.9389,,,1,1,,1,,,,1,1,2,1
freebeacon.com,y,,0.7926,8500,2900,0.8778,,,1,0.5,,1,,,,1,1,2,1
totalfratmove.com,y,,0.6603,5300,2900,,,,,,,1,,,,0,1,1,1
dailywire.com,y,,0.8496,7200,2500,,,,1,1,,1,,,,1,1,2,1
judicialwatch.org,y,,0.8639,10600,2400,0.8287,,,0.5,1,,1,,,,0,0,1,1
foxbusiness.com,y,,0.6062,4000,2300,,0.5,,,,,1,,,,0,1,1,1
allenbwest.com,y,Not u.s. ,0.9115,7100,2300,0.8918,,,,,,1,,,,1,1,2,1
twitchy.com,y,,0.8755,5800,2300,0.9375,,,,,,1,,,,1,1,2,1
cnsnews.com,y,,0.8578,4100,2200,0.89865,0.5,,1,0.5,,1,,,,1,1,2,1
donaldjtrump.com,n,,0.6936,5300,2200,,0.5,,,,,0,,,,1,1,1,1
conservativetribune.com,y,,0.8741,9800,2200,0.8866,1,,,,,1,,,,1,1,2,1
relm.ag,n,Link doesn't load,0.6547,7300,2000,,,,,,,1,,,,0,1,1,1
redstate.com,y,,0.7672,5400,2000,0.9624,0.75,,,,,1,,,,1,1,2,1
truthfeed.com,n,Dead link,0.8711,12300,2000,,,,,,,1,,,,1,1,2,1
nation.foxnews.com,y,,0.6935,3700,1900,0.9012,0.5833333333,,,,,1,,,,0,1,1,1
pjmedia.com,y,,0.8157,4700,1900,0.9125,0,,,,,1,,,,1,1,2,1
dailysign.al,y,,0.8804,6400,1800,,,,,,,,,,,1,1,1,1
therightscoop.com,y,,0.8978,3600,1800,0.9275,,,,,,1,,,,1,1,2,1
aclj.org,y,,0.8922,20100,1800,0.9268,,,,,,1,,,,0,1,1,1
lifezette.com,y,,0.8501,3600,1700,,0,,,,,1,,,,1,1,2,1
westernjournalism.com,y,,0.8821,6800,1700,0.8991,,,1,0.5,,1,,,,1,1,2,1
hotair.com,y,,0.8293,3800,1700,0.9247,0.5,,0.5,1,,1,,,,1,1,2,1
