term,term_count,term_ratio,doc_count,doc_ratio,sample_size
new,299,0.0598,294,0.0588,5000
2023,130,0.026,130,0.026,5000
man,113,0.0226,110,0.022,5000
day,89,0.0178,89,0.0178,5000
debt,89,0.0178,89,0.0178,5000
deal,77,0.0154,77,0.0154,5000
china,76,0.0152,74,0.0148,5000
win,72,0.0144,71,0.0142,5000
world,69,0.0138,69,0.0138,5000
june,69,0.0138,68,0.0136,5000
people,66,0.0132,66,0.0132,5000
biden,63,0.0126,63,0.0126,5000
trump,63,0.0126,60,0.012,5000
police,61,0.0122,58,0.0116,5000
season,58,0.0116,56,0.0112,5000
u.s.,58,0.0116,57,0.0114,5000
time,57,0.0114,57,0.0114,5000
game,55,0.011,55,0.011,5000
house,55,0.011,54,0.0108,5000
health,54,0.0108,54,0.0108,5000
summer,54,0.0108,54,0.0108,5000
open,54,0.0108,54,0.0108,5000
city,54,0.0108,54,0.0108,5000
ukraine,54,0.0108,54,0.0108,5000
ai,54,0.0108,51,0.0102,5000
set,52,0.0104,52,0.0104,5000
life,51,0.0102,50,0.01,5000
back,51,0.0102,51,0.0102,5000
star,51,0.0102,50,0.01,5000
pride,50,0.01,50,0.01,5000
ceiling,49,0.0098,49,0.0098,5000
watch,49,0.0098,49,0.0098,5000
spider,48,0.0096,26,0.0052,5000
high,47,0.0094,46,0.0092,5000
women,46,0.0092,46,0.0092,5000
old,46,0.0092,46,0.0092,5000
white,45,0.009,43,0.0086,5000
free,44,0.0088,43,0.0086,5000
school,44,0.0088,44,0.0088,5000
report,44,0.0088,44,0.0088,5000
big,44,0.0088,43,0.0086,5000
heat,44,0.0088,43,0.0086,5000
right,43,0.0086,43,0.0086,5000
war,43,0.0086,42,0.0084,5000
black,42,0.0084,42,0.0084,5000
week,42,0.0084,42,0.0084,5000
bill,41,0.0082,41,0.0082,5000
review,41,0.0082,41,0.0082,5000
president,41,0.0082,41,0.0082,5000
former,41,0.0082,41,0.0082,5000
india,40,0.008,39,0.0078,5000
series,39,0.0078,39,0.0078,5000
family,39,0.0078,39,0.0078,5000
nba,39,0.0078,38,0.0076,5000
final,39,0.0078,39,0.0078,5000
million,39,0.0078,38,0.0076,5000
dies,38,0.0076,38,0.0076,5000
finals,38,0.0076,38,0.0076,5000
long,37,0.0074,36,0.0072,5000
national,37,0.0074,37,0.0074,5000
memorial,37,0.0074,37,0.0074,5000
film,37,0.0074,36,0.0072,5000
woman,37,0.0074,36,0.0072,5000
study,36,0.0072,36,0.0072,5000
help,35,0.007,35,0.007,5000
dead,35,0.007,35,0.007,5000
work,35,0.007,34,0.0068,5000
york,35,0.007,35,0.007,5000
south,35,0.007,35,0.007,5000
texas,35,0.007,35,0.007,5000
food,35,0.007,34,0.0068,5000
russian,35,0.007,35,0.007,5000
exclusive,34,0.0068,34,0.0068,5000
calls,34,0.0068,33,0.0066,5000
law,34,0.0068,34,0.0068,5000
video,34,0.0068,34,0.0068,5000
children,34,0.0068,34,0.0068,5000
so,34,0.0068,34,0.0068,5000
death,34,0.0068,34,0.0068,5000
history,33,0.0066,31,0.0062,5000
future,33,0.0066,33,0.0066,5000
music,33,0.0066,33,0.0066,5000
talks,33,0.0066,33,0.0066,5000
change,33,0.0066,33,0.0066,5000
team,33,0.0066,33,0.0066,5000
down,33,0.0066,33,0.0066,5000
cup,33,0.0066,33,0.0066,5000
anti,33,0.0066,33,0.0066,5000
russia,33,0.0066,33,0.0066,5000
news,33,0.0066,33,0.0066,5000
cancer,32,0.0064,30,0.006,5000
month,32,0.0064,32,0.0064,5000
college,32,0.0064,29,0.0058,5000
crash,32,0.0064,32,0.0064,5000
american,31,0.0062,31,0.0062,5000
north,31,0.0062,31,0.0062,5000
killed,31,0.0062,31,0.0062,5000
judge,31,0.0062,31,0.0062,5000
california,30,0.006,30,0.006,5000
good,30,0.006,28,0.0056,5000
