term,count
biden,675
hunter,330
county,256
police,252
deal,211
video,210
school,200
woman,188
trump,186
american,170
found,166
house,157
watch,155
desanti,146
fire,145
report,139
heat,138
time,138
million,127
florida,124
naturalnews.com,124
family,119
plea,119
biden',118
dead,112
court,108
judge,108
city,106
crash,100
democrat,97
charge,94
people,94
media,91
arrested,90
former,89
week,89
white,89
back,83
high,83
help,82
claim,80
down,75
july,74
photo,74
world,74
biden’,73
bill,73
shooting,70
summer,69
republican,65
barbie,63
arrest,62
business,62
change,61
face,61
plan,58
president,57
student,56
open,54
killed,53
team,52
federal,51
national,51
program,51
officer,50
free,49
health,49
texa,49
life,47
north,47
policy,47
black,46
death,46
town,46
jame,45
right,45
service,44
strike,44
need,43
border,42
ukraine,42
west,42
campaign,41
china,41
office,41
charged,40
issue,40
military,40
colorado,39
attack,38
camp,38
jason,38
missing,38
park,38
record,37
climate,36
