term,count
trump,396
debate,253
world,180
black,179
people,168
school,163
star,145
republican,139
time,138
back,136
week,135
august,107
right,102
video,96
county,92
city,90
watch,81
album,80
tour,80
share,77
georgia,73
student,73
down,70
plan,70
change,69
climate,66
donald,66
court,64
police,62
report,62
woman,61
season,60
election,59
music,58
american,55
killed,55
life,55
need,54
help,52
north,52
open,52
crash,49
charge,47
national,46
community,45
history,44
shooting,44
festival,43
former,42
long,42
return,42
abortion,40
death,40
release,40
street,40
wildfire,40
anniversary,39
customer,39
russia,39
worker,38
game,37
health,36
public,36
white,36
song,35
texa,35
biden,34
house,33
high,32
presidential,32
storm,32
russian,31
fall,30
online,30
food,29
fire,28
good,28
summer,28
california,27
family,26
night,26
photo,26
