term,term_count,term_ratio,doc_count,doc_ratio,sample_size
trump,448,0.0896,440,0.088,4999
new,280,0.056,280,0.056,4999
march,201,0.0402,193,0.0386,4999
ncaa,167,0.0334,166,0.0332,4999
2025,148,0.0296,148,0.0296,4999
madness,137,0.0274,137,0.0274,4999
man,123,0.0246,122,0.0244,4999
tournament,122,0.0244,122,0.0244,4999
county,110,0.022,107,0.0214,4999
watch,107,0.0214,106,0.0212,4999
free,107,0.0214,106,0.0212,4999
vs,99,0.0198,99,0.0198,4999
fire,98,0.0196,92,0.0184,4999
season,90,0.018,89,0.0178,4999
live,86,0.0172,85,0.017,4999
judge,85,0.017,84,0.0168,4999
day,85,0.017,85,0.017,4999
time,84,0.0168,84,0.0168,4999
gaza,82,0.0164,82,0.0164,4999
department,81,0.0162,81,0.0162,4999
florida,79,0.0158,79,0.0158,4999
education,75,0.015,73,0.0146,4999
down,74,0.0148,74,0.0148,4999
city,74,0.0148,73,0.0146,4999
game,73,0.0146,71,0.0142,4999
win,69,0.0138,69,0.0138,4999
back,69,0.0138,69,0.0138,4999
woman,69,0.0138,69,0.0138,4999
order,68,0.0136,68,0.0136,4999
women,67,0.0134,66,0.0132,4999
house,66,0.0132,66,0.0132,4999
killed,66,0.0132,66,0.0132,4999
federal,65,0.013,65,0.013,4999
st,65,0.013,64,0.0128,4999
family,64,0.0128,64,0.0128,4999
police,64,0.0128,63,0.0126,4999
return,63,0.0126,63,0.0126,4999
star,63,0.0126,63,0.0126,4999
high,63,0.0126,63,0.0126,4999
north,62,0.0124,62,0.0124,4999
cuts,62,0.0124,62,0.0124,4999
administration,62,0.0124,62,0.0124,4999
ukraine,62,0.0124,62,0.0124,4999
â,61,0.0122,58,0.0116,4999
court,61,0.0122,61,0.0122,4999
school,61,0.0122,61,0.0122,4999
former,59,0.0118,59,0.0118,4999
spring,59,0.0118,59,0.0118,4999
naturalnews.com,58,0.0116,58,0.0116,4999
ceasefire,58,0.0116,58,0.0116,4999
doge,57,0.0114,57,0.0114,4999
security,56,0.0112,56,0.0112,4999
basketball,56,0.0112,56,0.0112,4999
south,54,0.0108,54,0.0108,4999
bill,54,0.0108,54,0.0108,4999
colorado,53,0.0106,53,0.0106,4999
people,53,0.0106,53,0.0106,4999
war,53,0.0106,52,0.0104,4999
big,53,0.0106,53,0.0106,4999
help,53,0.0106,53,0.0106,4999
texas,53,0.0106,53,0.0106,4999
old,52,0.0104,51,0.0102,4999
israel,52,0.0104,52,0.0104,4999
white,51,0.0102,51,0.0102,4999
putin,51,0.0102,51,0.0102,4999
military,50,0.01,50,0.01,4999
death,48,0.0096,48,0.0096,4999
mexico,47,0.0094,47,0.0094,4999
plan,47,0.0094,47,0.0094,4999
round,47,0.0094,47,0.0094,4999
dies,46,0.0092,46,0.0092,4999
american,45,0.009,45,0.009,4999
months,45,0.009,45,0.009,4999
calls,45,0.009,44,0.0088,4999
u.s.,45,0.009,45,0.009,4999
uk,45,0.009,44,0.0088,4999
million,45,0.009,45,0.009,4999
world,44,0.0088,44,0.0088,4999
stream,44,0.0088,44,0.0088,4999
hospital,44,0.0088,44,0.0088,4999
arrested,43,0.0086,43,0.0086,4999
plans,43,0.0086,42,0.0084,4999
team,43,0.0086,43,0.0086,4999
wife,43,0.0086,43,0.0086,4999
social,43,0.0086,43,0.0086,4999
charged,43,0.0086,43,0.0086,4999
oregon,42,0.0084,42,0.0084,4999
hit,42,0.0084,42,0.0084,4999
reveals,41,0.0082,41,0.0082,4999
pope,41,0.0082,41,0.0082,4999
shooting,41,0.0082,41,0.0082,4999
health,41,0.0082,41,0.0082,4999
strikes,40,0.008,40,0.008,4999
channel,40,0.008,32,0.0064,4999
major,40,0.008,40,0.008,4999
law,40,0.008,40,0.008,4999
power,39,0.0078,39,0.0078,4999
america,39,0.0078,39,0.0078,4999
government,39,0.0078,39,0.0078,4999
crash,39,0.0078,39,0.0078,4999
