term,term_count,term_ratio,doc_count,doc_ratio,sample_size
trump,939,0.188,931,0.186,5000
new,237,0.0474,232,0.0464,5000
watch,187,0.0374,185,0.037,5000
president,125,0.025,123,0.0246,5000
russia,125,0.025,123,0.0246,5000
democrats,119,0.0238,119,0.0238,5000
video,110,0.022,110,0.022,5000
american,107,0.0214,106,0.0212,5000
trade,105,0.021,103,0.0206,5000
deal,103,0.0206,103,0.0206,5000
report,101,0.0202,101,0.0202,5000
senate,101,0.0202,101,0.0202,5000
obama,98,0.0196,96,0.0192,5000
down,97,0.0194,94,0.0188,5000
cincinnati,95,0.019,95,0.019,5000
biden,95,0.019,92,0.0184,5000
gop,91,0.0182,91,0.0182,5000
kamala,91,0.0182,91,0.0182,5000
ice,87,0.0174,87,0.0174,5000
media,86,0.0172,86,0.0172,5000
america,84,0.0168,83,0.0166,5000
fbi,83,0.0166,80,0.016,5000
dems,83,0.0166,83,0.0166,5000
white,81,0.0162,79,0.0158,5000
man,80,0.016,80,0.016,5000
shooting,80,0.016,80,0.016,5000
police,79,0.0158,77,0.0154,5000
judge,79,0.0158,79,0.0158,5000
illegal,78,0.0156,77,0.0154,5000
harris,77,0.0154,77,0.0154,5000
news,76,0.0152,74,0.0148,5000
house,74,0.0148,74,0.0148,5000
attack,73,0.0146,73,0.0146,5000
gaza,73,0.0146,73,0.0146,5000
stock,72,0.0144,72,0.0144,5000
nyc,69,0.0138,69,0.0138,5000
admin,68,0.0136,68,0.0136,5000
left,68,0.0136,67,0.0134,5000
u.s.,68,0.0136,67,0.0134,5000
sweeney,67,0.0134,67,0.0134,5000
cnn,67,0.0134,67,0.0134,5000
court,66,0.0132,66,0.0132,5000
sydney,66,0.0132,66,0.0132,5000
worldnetdaily,66,0.0132,66,0.0132,5000
epstein,66,0.0132,65,0.013,5000
people,65,0.013,65,0.013,5000
hamas,65,0.013,64,0.0128,5000
israel,65,0.013,65,0.013,5000
bill,65,0.013,64,0.0128,5000
ai,64,0.0128,64,0.0128,5000
hoax,64,0.0128,64,0.0128,5000
calls,63,0.0126,63,0.0126,5000
former,62,0.0124,62,0.0124,5000
big,62,0.0124,60,0.012,5000
federal,60,0.012,60,0.012,5000
back,60,0.012,58,0.0116,5000
democrat,59,0.0118,59,0.0118,5000
world,56,0.0112,56,0.0112,5000
star,55,0.011,54,0.0108,5000
ad,55,0.011,55,0.011,5000
china,55,0.011,54,0.0108,5000
americans,55,0.011,55,0.011,5000
anti,55,0.011,54,0.0108,5000
dem,54,0.0108,53,0.0106,5000
killed,54,0.0108,54,0.0108,5000
fed,53,0.0106,53,0.0106,5000
child,52,0.0104,52,0.0104,5000
tariff,51,0.0102,51,0.0102,5000
fire,51,0.0102,49,0.0098,5000
california,51,0.0102,51,0.0102,5000
death,51,0.0102,50,0.01,5000
texas,49,0.0098,49,0.0098,5000
time,48,0.0096,48,0.0096,5000
claims,48,0.0096,48,0.0096,5000
public,47,0.0094,47,0.0094,5000
city,47,0.0094,47,0.0094,5000
mamdani,47,0.0094,47,0.0094,5000
doj,47,0.0094,47,0.0094,5000
million,47,0.0094,47,0.0094,5000
nfl,47,0.0094,46,0.0092,5000
colbert,47,0.0094,46,0.0092,5000
exclusive,46,0.0092,46,0.0092,5000
presidential,46,0.0092,46,0.0092,5000
tariffs,46,0.0092,46,0.0092,5000
uk,46,0.0092,46,0.0092,5000
officer,46,0.0092,46,0.0092,5000
arrested,45,0.009,45,0.009,5000
pro,45,0.009,44,0.0088,5000
2025,45,0.009,45,0.009,5000
administration,44,0.0088,44,0.0088,5000
so,44,0.0088,41,0.0082,5000
earnings,44,0.0088,44,0.0088,5000
russian,43,0.0086,43,0.0086,5000
office,43,0.0086,43,0.0086,5000
end,43,0.0086,43,0.0086,5000
ex,43,0.0086,42,0.0084,5000
planned,43,0.0086,43,0.0086,5000
day,43,0.0086,43,0.0086,5000
announces,42,0.0084,42,0.0084,5000
deadline,42,0.0084,42,0.0084,5000
