term,term_count,term_ratio,doc_count,doc_ratio,sample_size
new,304,0.0608,298,0.0596,5000
2025,256,0.0512,251,0.0502,5000
trump,234,0.0468,228,0.0456,5000
ai,137,0.0274,132,0.0264,5000
day,108,0.0216,106,0.0212,5000
announces,100,0.02,100,0.02,5000
shutdown,98,0.0196,98,0.0196,5000
results,94,0.0188,94,0.0188,5000
football,90,0.018,90,0.018,5000
market,87,0.0174,82,0.0164,5000
week,86,0.0172,84,0.0168,5000
vs,84,0.0168,84,0.0168,5000
man,78,0.0156,78,0.0156,5000
win,77,0.0154,76,0.0152,5000
season,77,0.0154,77,0.0154,5000
report,76,0.0152,76,0.0152,5000
quarter,76,0.0152,75,0.015,5000
government,75,0.015,75,0.015,5000
watch,68,0.0136,68,0.0136,5000
tv,66,0.0132,63,0.0126,5000
back,66,0.0132,66,0.0132,5000
veterans,65,0.013,57,0.0114,5000
reports,65,0.013,65,0.013,5000
billion,63,0.0126,61,0.0122,5000
world,63,0.0126,63,0.0126,5000
city,62,0.0124,62,0.0124,5000
holiday,62,0.0124,62,0.0124,5000
million,61,0.0122,60,0.012,5000
county,60,0.012,60,0.012,5000
star,60,0.012,59,0.0118,5000
financial,59,0.0118,59,0.0118,5000
game,59,0.0118,59,0.0118,5000
2026,58,0.0116,58,0.0116,5000
deal,58,0.0116,58,0.0116,5000
school,56,0.0112,54,0.0108,5000
police,56,0.0112,56,0.0112,5000
federal,55,0.011,55,0.011,5000
nov,54,0.0108,53,0.0106,5000
time,54,0.0108,54,0.0108,5000
help,54,0.0108,54,0.0108,5000
free,54,0.0108,54,0.0108,5000
black,53,0.0106,53,0.0106,5000
end,53,0.0106,52,0.0104,5000
friday,52,0.0104,51,0.0102,5000
update,51,0.0102,51,0.0102,5000
high,51,0.0102,51,0.0102,5000
immigration,51,0.0102,51,0.0102,5000
loss,51,0.0102,51,0.0102,5000
data,50,0.01,50,0.01,5000
dies,49,0.0098,49,0.0098,5000
big,48,0.0096,46,0.0092,5000
court,47,0.0094,47,0.0094,5000
winter,47,0.0094,47,0.0094,5000
health,47,0.0094,46,0.0092,5000
team,46,0.0092,46,0.0092,5000
old,46,0.0092,45,0.009,5000
people,46,0.0092,46,0.0092,5000
house,46,0.0092,46,0.0092,5000
group,46,0.0092,44,0.0088,5000
women,45,0.009,45,0.009,5000
south,45,0.009,45,0.009,5000
ex,45,0.009,42,0.0084,5000
north,44,0.0088,44,0.0088,5000
need,43,0.0086,43,0.0086,5000
family,43,0.0086,43,0.0086,5000
nfl,43,0.0086,43,0.0086,5000
business,43,0.0086,43,0.0086,5000
shares,43,0.0086,43,0.0086,5000
u.s.,43,0.0086,43,0.0086,5000
climate,42,0.0084,38,0.0076,5000
epstein,42,0.0084,41,0.0082,5000
judge,42,0.0084,42,0.0084,5000
former,41,0.0082,41,0.0082,5000
food,41,0.0082,41,0.0082,5000
president,41,0.0082,39,0.0078,5000
public,40,0.008,40,0.008,5000
november,40,0.008,40,0.008,5000
chicago,40,0.008,40,0.008,5000
death,40,0.008,40,0.008,5000
exclusive,39,0.0078,39,0.0078,5000
set,39,0.0078,39,0.0078,5000
coach,39,0.0078,39,0.0078,5000
law,39,0.0078,37,0.0074,5000
college,39,0.0078,38,0.0076,5000
release,38,0.0076,38,0.0076,5000
arrested,38,0.0076,38,0.0076,5000
11,38,0.0076,38,0.0076,5000
thanksgiving,37,0.0074,37,0.0074,5000
down,37,0.0074,37,0.0074,5000
national,37,0.0074,37,0.0074,5000
major,37,0.0074,37,0.0074,5000
class,37,0.0074,35,0.007,5000
michigan,37,0.0074,36,0.0072,5000
disney,36,0.0072,35,0.007,5000
so,36,0.0072,35,0.007,5000
power,36,0.0072,36,0.0072,5000
hall,36,0.0072,36,0.0072,5000
news,36,0.0072,35,0.007,5000
killed,36,0.0072,36,0.0072,5000
live,36,0.0072,36,0.0072,5000
