term,term_count,term_ratio,doc_count,doc_ratio,sample_size
trump,813,0.163,809,0.162,5000
iran,389,0.0778,383,0.0766,5000
new,317,0.0634,311,0.0622,5000
war,269,0.0538,266,0.0532,5000
ice,138,0.0276,137,0.0274,5000
2026,109,0.0218,109,0.0218,5000
house,102,0.0204,102,0.0204,5000
black,96,0.0192,95,0.019,5000
women,94,0.0188,88,0.0176,5000
world,92,0.0184,92,0.0184,5000
boston,91,0.0182,88,0.0176,5000
israel,82,0.0164,82,0.0164,5000
kings,80,0.016,80,0.016,5000
gop,80,0.016,80,0.016,5000
day,77,0.0154,76,0.0152,5000
back,76,0.0152,73,0.0146,5000
win,75,0.015,75,0.015,5000
court,75,0.015,75,0.015,5000
maga,74,0.0148,70,0.014,5000
man,72,0.0144,71,0.0142,5000
red,72,0.0144,72,0.0144,5000
white,70,0.014,69,0.0138,5000
season,69,0.0138,69,0.0138,5000
u.s.,67,0.0134,67,0.0134,5000
down,66,0.0132,65,0.013,5000
woman,65,0.013,64,0.0128,5000
vs,63,0.0126,63,0.0126,5000
airports,63,0.0126,62,0.0124,5000
tsa,63,0.0126,63,0.0126,5000
bill,62,0.0124,62,0.0124,5000
open,61,0.0122,61,0.0122,5000
people,61,0.0122,59,0.0118,5000
dhs,60,0.012,60,0.012,5000
report,60,0.012,60,0.012,5000
republicans,59,0.0118,59,0.0118,5000
airport,58,0.0116,57,0.0114,5000
senate,56,0.0112,56,0.0112,5000
end,55,0.011,55,0.011,5000
sox,55,0.011,55,0.011,5000
ai,53,0.0106,52,0.0104,5000
march,52,0.0104,52,0.0104,5000
old,52,0.0104,51,0.0102,5000
media,51,0.0102,51,0.0102,5000
right,51,0.0102,48,0.0096,5000
plan,49,0.0098,49,0.0098,5000
funding,49,0.0098,49,0.0098,5000
deal,49,0.0098,49,0.0098,5000
america,49,0.0098,49,0.0098,5000
talks,49,0.0098,49,0.0098,5000
history,48,0.0096,47,0.0094,5000
time,48,0.0096,45,0.009,5000
pay,48,0.0096,48,0.0096,5000
so,47,0.0094,46,0.0092,5000
police,47,0.0094,47,0.0094,5000
school,45,0.009,44,0.0088,5000
spring,44,0.0088,42,0.0084,5000
agents,44,0.0088,41,0.0082,5000
health,43,0.0086,43,0.0086,5000
crash,43,0.0086,43,0.0086,5000
big,43,0.0086,43,0.0086,5000
week,42,0.0084,41,0.0082,5000
news,42,0.0084,42,0.0084,5000
star,42,0.0084,42,0.0084,5000
calls,41,0.0082,40,0.008,5000
million,41,0.0082,41,0.0082,5000
prices,41,0.0082,41,0.0082,5000
florida,41,0.0082,41,0.0082,5000
finds,41,0.0082,41,0.0082,5000
texas,41,0.0082,41,0.0082,5000
former,40,0.008,39,0.0078,5000
set,40,0.008,40,0.008,5000
social,40,0.008,40,0.008,5000
album,40,0.008,40,0.008,5000
good,39,0.0078,39,0.0078,5000
crisis,39,0.0078,39,0.0078,5000
president,39,0.0078,38,0.0076,5000
oil,38,0.0076,37,0.0074,5000
hegseth,38,0.0076,38,0.0076,5000
high,38,0.0076,38,0.0076,5000
fire,38,0.0076,37,0.0074,5000
city,37,0.0074,37,0.0074,5000
cup,37,0.0074,37,0.0074,5000
israeli,37,0.0074,36,0.0072,5000
mass,37,0.0074,37,0.0074,5000
shutdown,37,0.0074,37,0.0074,5000
family,37,0.0074,37,0.0074,5000
power,36,0.0072,36,0.0072,5000
americans,36,0.0072,36,0.0072,5000
nyc,36,0.0072,36,0.0072,5000
american,35,0.007,35,0.007,5000
death,35,0.007,35,0.007,5000
fight,35,0.007,35,0.007,5000
ex,35,0.007,35,0.007,5000
mail,35,0.007,31,0.0062,5000
life,34,0.0068,34,0.0068,5000
republican,34,0.0068,34,0.0068,5000
attack,34,0.0068,34,0.0068,5000
supreme,34,0.0068,34,0.0068,5000
lead,33,0.0066,33,0.0066,5000
dead,33,0.0066,33,0.0066,5000
