term,count
trump,268
black,232
election,184
time,166
people,151
world,151
house,136
school,125
city,124
week,114
climate,112
midterm,99
november,98
republican,97
democrat,91
student,89
right,87
back,84
open,81
video,81
million,80
game,74
county,73
need,73
senate,71
plan,68
report,67
health,64
life,64
album,63
season,63
american,59
down,59
race,58
wakanda,58
future,56
share,54
star,54
watch,53
worker,53
family,52
holiday,51
review,51
twitter,51
donald,47
live,47
change,42
food,42
community,40
work,40
good,39
return,39
public,38
death,37
love,37
covid,36
help,36
marriage,36
music,35
white,35
story,33
texa,33
thanksgiving,32
york,32
high,31
women,30
award,29
panther,29
face,28
coming,27
company,27
history,27
arizona,26
council,26
qns.com,26
friday,25
power,25
street,25
vote,25
brooklyn,24
