term,weeks_mentioned,active_weeks,partisan_score,cv,extreme_ratio,max_min_ratio,lean,avg_far-left,avg_center-left,avg_center,avg_center-right,avg_far-right
listen,100,100,2.0,2.0,9.5757,1.0,extreme-left,0.00959,0.0,0.0,0.0,0.0
dem,104,104,2.0,2.0,11.2925,1.0,extreme-right,0.0,0.0,0.0,0.0,0.0113
naturalnews.com,105,105,2.0,2.0,0.0,1.0,right,0.0,0.0,0.0,0.00969,0.0
album,112,112,2.0,2.0,9.2852,1.0,extreme-left,0.00929,0.0,0.0,0.0,0.0
democrat,114,114,2.0,2.0,12.0581,1.0,extreme-right,0.0,0.0,0.0,0.0,0.01207
illegal,140,140,1.9922,1.9922,15.4388,317.18,extreme-right,5e-05,0.0,0.0,0.0,0.01541
left,147,147,1.9557,1.9557,76.2124,204.05,extreme-right,6e-05,0.0,0.0,0.00015,0.01166
film,118,118,1.9281,1.9281,0.0299,33.4,left,0.00023,0.00758,0.0,0.0,0.0
fans,102,102,1.9168,1.9168,0.0,65.23,right,0.0,0.00018,0.00015,0.00946,0.0
market,167,167,1.9102,1.9102,0.0146,317.36,right,8e-05,0.00024,0.02623,0.00035,0.00031
boston,130,130,1.8825,1.8825,20.0419,109.08,extreme-left,0.01175,0.00048,0.00011,0.0,0.0
business,138,138,1.8824,1.8824,0.018,69.15,right,0.0,0.00014,0.00952,0.00016,0.00018
results,109,109,1.8586,1.8586,0.0159,147.08,right,0.00014,0.0001,0.01403,0.00051,0.0001
billion,155,155,1.8467,1.8467,0.0278,81.54,right,0.0,0.00018,0.01483,0.00036,0.00043
rep,117,117,1.7951,1.7951,12.0637,10.77,extreme-right,0.00103,0.0,0.0,0.0,0.01105
americans,138,138,1.766,1.766,36.0893,202.32,extreme-right,0.00075,0.0,5e-05,0.00025,0.00997
pro,138,138,1.7218,1.7218,9.9795,43.74,extreme-right,0.0003,0.00033,0.00055,0.00047,0.01312
global,156,156,1.6502,1.6502,0.0188,167.35,left,9e-05,0.00151,0.01459,0.0006,0.00023
border,112,112,1.6421,1.6421,9.4025,216.05,extreme-right,0.00087,0.0005,7e-05,0.00116,0.01543
claims,146,146,1.5654,1.5654,16.4559,53.54,extreme-right,0.00152,0.00019,0.00027,0.00026,0.01027
republican,100,100,1.4846,1.4846,20.6297,73.73,extreme-left,0.00973,0.00013,0.00021,0.00023,0.00215
nyc,139,139,1.4799,1.4799,66.9704,133.41,extreme-left,0.00902,0.0,0.00011,7e-05,0.00254
joe,115,115,1.4644,1.4644,16.4959,67.02,extreme-right,0.00351,0.00066,0.00024,0.00029,0.01609
crash,150,150,1.3806,1.3806,0.0607,26.16,right,0.00042,0.00101,0.00188,0.01106,0.00042
democrats,163,163,1.3628,1.3628,13.3747,76.21,extreme-right,0.00465,0.0004,0.00022,0.00097,0.01655
republicans,144,144,1.3368,1.3368,38.0214,260.59,extreme-left,0.01231,5e-05,0.00011,0.0003,0.00507
anti,159,159,1.3093,1.3093,38.7325,60.11,extreme-right,0.00551,0.0002,0.0,0.00025,0.01217
review,159,159,1.2492,1.2492,0.0175,35.51,left,0.00024,0.00868,0.00527,0.0,0.0
red,138,138,1.1733,1.1733,1.8497,29.8,extreme-left,0.01032,0.00487,0.00061,0.00035,0.00045
gop,170,170,1.1545,1.1545,19.9349,200.89,extreme-both,0.02269,0.00011,0.00035,0.0015,0.01638
right,162,162,1.1514,1.1514,4.4747,187.67,extreme-left,0.01112,0.00227,0.00082,6e-05,0.00298
media,170,170,1.1449,1.1449,6.0638,61.42,extreme-right,0.00542,0.0025,0.00064,0.00025,0.0151
america,170,170,1.143,1.143,5.4012,17.24,extreme-right,0.00523,0.00172,0.00136,0.00096,0.01663
calls,168,168,1.093,1.093,5.2053,61.22,extreme-right,0.00451,0.00181,0.0002,0.0012,0.01224
tv,134,134,1.0637,1.0637,0.0,3.25,left,0.0,0.00684,0.00286,0.0021,0.0
video,170,170,1.063,1.063,2.8855,10.04,extreme-right,0.00475,0.00488,0.00244,0.00282,0.02454
arrested,152,152,1.0573,1.0573,0.9161,39.13,right,0.0006,0.00021,0.00061,0.00813,0.0076
announces,169,169,1.0562,1.0562,0.3882,54.4,right-lean,0.00482,0.00035,0.01886,0.00302,0.00381
