term,count
trump,379
county,306
biden,300
house,277
election,273
republican,217
school,198
democrat,196
police,184
veteran,179
photo,177
city,167
video,158
student,153
watch,150
down,136
crash,135
vote,132
american,129
week,128
time,125
football,123
desanti,122
fire,120
west,115
virginia,111
shooting,106
senate,101
report,100
midterm,99
game,95
plan,91
race,89
breaking,87
back,85
kansa,85
killed,85
life,84
people,84
leader,79
pelosi,79
family,78
woman,78
death,77
high,75
arrested,74
need,74
president,73
dead,72
ukraine,72
arizona,64
covid,62
missile,62
abortion,59
attack,59
open,59
lake,56
million,56
season,56
suspect,55
thanksgiving,53
florida,52
media,52
help,51
world,50
penn,49
musk,48
nebraska,48
poland,48
health,46
south,45
former,44
official,42
white,42
work,42
cold,41
holiday,40
live,39
murder,38
voter,38
change,37
control,37
mcconnell,37
military,37
right,37
found,36
leadership,36
colorado,35
program,35
america,33
charge,33
continue,33
investigation,33
